cid000004116	ensp00000285900	antagonist	inhibitor
cid000042113	ensp00000285900	antagonist	inhibitor
cid000005206	ensp00000285900	antagonist	inhibitor
cid009924495	ensp00000285900	antagonist	inhibitor
cid044461359	ensp00000371985	antagonist	inhibitor
cid003086686	ensp00000282397	antagonist	inhibitor
cid006433119	ensp00000364709	antagonist	inhibitor
cid000151171	ensp00000338072	antagonist	inhibitor
cid000216237	ensp00000338072	antagonist	inhibitor
cid000216239	ensp00000263923	antagonist	inhibitor
cid025102847	ensp00000263923	antagonist	inhibitor
cid000216239	ensp00000288135	antagonist	inhibitor
cid003086686	ensp00000288135	antagonist	inhibitor
cid000004920	ensp00000423510	antagonist	inhibitor
cid000005267	ensp00000423510	antagonist	inhibitor
cid000150310	ensp00000423510	antagonist	inhibitor
cid000068873	ensp00000423510	antagonist	inhibitor
cid000004248	ensp00000362401	antagonist	inhibitor
cid000005717	ensp00000362401	antagonist	inhibitor
cid000071350	ensp00000362401	antagonist	inhibitor
cid000115100	ensp00000362401	antagonist	inhibitor
cid000216239	ensp00000261937	antagonist	inhibitor
cid000018104	ensp00000306129	antagonist	inhibitor
cid000151171	ensp00000299178	antagonist	inhibitor
cid000216239	ensp00000261799	antagonist	inhibitor
cid003086686	ensp00000261799	antagonist	inhibitor
cid000004095	ensp00000250699	antagonist	inhibitor
cid000005849	ensp00000250699	antagonist	inhibitor
cid000023576	ensp00000250699	antagonist	inhibitor
cid000123631	ensp00000275493	antagonist	inhibitor
cid000176870	ensp00000275493	antagonist	inhibitor
cid000208908	ensp00000275493	antagonist	inhibitor
cid000003902	ensp00000260433	antagonist	inhibitor
cid000004542	ensp00000325120	binder	inhibitor
cid000003475	ensp00000374467	binder	inhibitor
cid000002749	ensp00000295598	binder	inhibitor
cid000033887	ensp00000295598	binder	inhibitor
cid009811221	ensp00000217133	binder	inhibitor
cid000003209	ensp00000356438	inhibitor	inhibitor
cid000004075	ensp00000356438	inhibitor	inhibitor
cid000001983	ensp00000356438	inhibitor	inhibitor
cid000003715	ensp00000356438	inhibitor	inhibitor
cid000004409	ensp00000356438	inhibitor	inhibitor
cid000003826	ensp00000356438	inhibitor	inhibitor
cid051508717	ensp00000356438	inhibitor	inhibitor
cid000002662	ensp00000356438	inhibitor	inhibitor
cid000005508	ensp00000356438	inhibitor	inhibitor
cid023690938	ensp00000356438	inhibitor	inhibitor
cid000003342	ensp00000356438	inhibitor	inhibitor
cid000003032	ensp00000356438	inhibitor	inhibitor
cid000005352	ensp00000356438	inhibitor	inhibitor
cid000003394	ensp00000356438	inhibitor	inhibitor
cid000003308	ensp00000356438	inhibitor	inhibitor
cid000004044	ensp00000356438	inhibitor	inhibitor
cid000001301	ensp00000356438	inhibitor	inhibitor
